Date,Open,High,Low,Close,Adj Close,Volume,sma_5,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_hist,rsi,lowest_low,highest_high,stoch_k,stoch_d,bb_middle,bb_upper,bb_lower,atr,daily_ret_lagged,obv,vwap,roc_5,roc_20,price_volatility,volume_volatility,prophet_predicted_price,llama_sentiment,llama_sentiment_confidence,gemini_sentiment,gemini_sentiment_confidence,pct_change_adj_close,price_change_direction
2020-03-16,60.48749923706055,64.7699966430664,60.0,60.5525016784668,59.98484420776367,322423600,67.02274475097656,72.47254486083985,75.6432373046875,69.70713214650019,72.383350590896,-2.676218444395815,-1.8616225013361511,-0.8145959430596634,45.06857355224591,60.0,76.0,48.864528111049104,23.61549100217703,72.47254486083985,82.68100193756166,62.26408778411803,5.112928118024554,0.1198081647626605,-1287519600,75.98306882645257,-3.826606907798325,-14.436543055531326,5.104228538360908,103314103.78085697,55.10473075110596,1.0,0.9609375,0.0,0.9990290150708409,-12.864695983611895,-1
2020-03-17,61.87749862670898,64.40249633789062,59.59999847412109,63.21500015258789,62.62238693237305,324056000,65.8359748840332,71.4479902267456,75.35878486633301,68.21139554054072,71.46494271066398,-3.2535471701232552,-2.024541689948084,-1.229005480175171,40.05291209240122,59.59999847412109,76.0,-0.0947237014770507,15.012359051540876,71.4479902267456,82.36301097445309,60.53296947903811,5.232737949916294,-0.1286469598361189,-1611575600,75.53024883440179,-9.00177023516524,-25.462384749845047,5.457510373853746,97200596.52388752,63.2049168221734,1.0,0.80322265625,0.0,0.9999959466272526,4.397015211832467,1
2020-03-18,59.942501068115234,62.5,59.27999877929688,61.66749954223633,61.089393615722656,300233600,64.22719879150391,70.62899055480958,75.14151214599609,67.35154806236108,70.80993857893873,-3.4583905165776514,-2.2703427859831184,-1.188047730594533,41.593071670286776,59.27999877929688,76.0,18.429196201492324,22.39966687035479,70.62899055480958,81.61521373551898,59.64276737410018,5.168863296508789,0.0439701521183246,-1311342000,74.8919620165225,-11.382914025558687,-20.73354418155481,5.493111590354697,95194059.10475938,60.3077936698848,1.0,0.85205078125,1.0,0.999775950826718,-2.4479956637646128,-1
2020-03-19,61.84749984741211,63.209999084472656,60.65250015258789,61.19499969482422,60.62131881713867,271857200,62.802679443359374,69.67613296508789,74.8818684387207,66.38813968595517,70.08989821129309,-3.7017585253379224,-2.5079523321020254,-1.193806193235897,43.99892643830208,59.27999877929688,76.0,10.821738662227707,9.71873705408099,69.67613296508789,80.49105960471637,58.8612063254594,4.957970210484096,-0.0244799566376461,-1583199200,74.28614510716592,-10.441854435713072,-23.777882997834933,5.407463319814243,86594017.66028583,64.73616537766361,1.0,0.88232421875,0.0,0.9999949935065884,-0.7662128740847707,-1
2020-03-20,61.79499816894531,62.95750045776367,57.0,57.310001373291016,56.77274703979492,401693200,62.631795501708986,68.74098224639893,74.61983055114746,65.50093647536801,69.38852195987424,-3.887585484506232,-2.746713570749205,-1.1408719137570271,43.66128213349979,57.0,76.0,8.022248444461441,12.424394436060489,68.74098224639893,79.27398087847246,58.2079836143254,4.836315972464425,-0.0076621287408477,-1984892400,74.54243817722322,-1.3898486276811006,-23.577903048696093,5.2664993160367635,76377087.38113324,63.11985882694364,1.0,0.97119140625,1.0,0.9981887550259128,-6.348545119832815,-1
2020-03-23,57.02000045776367,57.125,53.15250015258789,56.09249877929688,55.56665802001953,336752800,60.21813812255859,67.70317916870117,74.25710250854492,64.15813810066446,68.45402011394243,-4.295882013277975,-2.9748879535006107,-1.3209940597773642,33.860716093563155,53.15250015258789,75.8499984741211,-1.1960682116056744,5.882639631694487,67.70317916870117,78.67161563894392,56.73474269845842,4.795065743582589,-0.0634854511983281,-2321645200,73.48144793209984,-17.530658977392775,-26.772063095560497,5.484218235121376,71731267.25912781,63.699748134435794,1.0,0.97314453125,1.0,0.9987350539454246,-2.1244154680941874,-1
2020-03-24,59.09000015258789,61.92250061035156,58.57500076293945,61.720001220703125,61.14140701293945,287531200,59.33450088500977,66.78920402526856,73.83843017578126,62.83637193441139,67.49940069957778,-4.663028765166381,-3.239086765456084,-1.423941999710297,34.602440526712996,53.15250015258789,74.88749694824219,10.636228862020976,5.820803031625576,66.78920402526856,78.61520796202251,54.96320008851462,4.949192592075893,-0.0212441546809418,-2609176400,72.82543733533339,-7.365504147083046,-24.75349110728985,5.913001968376971,70044023.08003311,61.437014775982995,1.0,0.72802734375,0.0,0.9999959466272526,10.032543240069348,1
2020-03-25,62.6875,64.5625,61.07500076293945,61.380001068115234,60.80458831787109,303602000,59.03830490112305,66.27903232574462,73.5277938079834,62.57560810033879,67.02843820427124,-4.452830103932449,-3.5238751653981435,-0.9289549385343054,37.30455541601667,53.15250015258789,72.70500183105469,36.755960607957704,15.39870708612433,66.27903232574462,78.15777524026,54.40028941122925,5.046658379690988,0.1003254324006934,-2305574400,72.60427144085864,-2.3649368731871068,-14.301572260830596,5.939371457257685,68116573.84276953,56.80903824433576,1.0,0.9423828125,1.0,0.9994294466657446,-0.5508847629186686,-1
2020-03-26,61.630001068115234,64.66999816894531,61.59000015258789,64.61000061035156,64.00431060791016,252087200,58.981343841552736,65.69543018341065,73.17765968322755,62.30314351842068,66.56741228676012,-4.264268768339434,-3.7096661531050046,-0.5546026152344297,38.79645002935153,53.15250015258789,71.61000061035156,39.13610795753289,28.84276580917052,65.69543018341065,77.43823545621532,53.95262491060598,5.151509148733957,-0.0055088476291866,-2557661600,72.09111164392239,-0.4662107135047222,-16.10456040675996,5.871402636402337,63312662.00265739,62.906166832458766,1.0,0.88232421875,0.0,0.9999898678719896,5.2623040111902775,1
2020-03-27,63.1875,63.96749877929688,61.76250076293945,61.935001373291016,61.35438537597656,204216800,59.65794219970703,65.50869731903076,72.91266914367675,62.564861532188296,66.3775529031416,-3.81269137095331,-3.8205866761518905,0.0078953051985806,43.06569072906768,53.15250015258789,71.61000061035156,58.793499586547384,44.895189384012646,65.50869731903076,77.23343917673341,53.78395546132811,4.895201001848493,0.0526230401119027,-2353444800,71.61142691935353,5.580531497468932,-5.513307042644389,5.862370928851323,64566778.79253875,62.65560993994508,1.0,0.90185546875,0.0,0.9999884376334164,-4.140229317001809,-1
