Date,Open,High,Low,Close,Adj Close,Volume,sma_5,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_hist,rsi,lowest_low,highest_high,stoch_k,stoch_d,bb_middle,bb_upper,bb_lower,atr,daily_ret,obv,vwap,roc_5,roc_20,price_volatility,volume_volatility,prophet_predicted_price,llama_sentiment,llama_sentiment_confidence,gemini_sentiment,gemini_sentiment_confidence
2020-03-13,40.0099983215332,40.13999938964844,35.0,38.119998931884766,33.36341094970703,79891500,40.50999984741211,51.13199996948242,59.92740013122559,45.66758688575891,51.5395273473505,-5.871940461591592,-4.633525212815718,-1.2384152487758744,22.84097266834,35.0,56.75,14.344822675332257,7.172332847781469,51.13199996948242,65.99700819827329,36.26699174069155,3.4599993569510312,0.0252823727539919,-542140700,54.94117500303402,-20.06709995890941,-37.436404495395,7.432504114395437,20873685.78837202,38.39973945036478,1.0,0.9814453125,0.0,0.9999520824406596
2020-03-16,34.400001525878906,37.880001068115234,33.25,34.4900016784668,30.18636703491211,48924700,39.03600006103515,49.82399997711182,59.19920013427734,43.947958392329355,50.27659952002578,-6.328641127696429,-4.97254839579186,-1.3560927319045684,21.883021884937392,33.25,54.81999969482422,5.748732943952422,6.98631391120091,49.82399997711182,65.7299518898517,33.91804806437193,3.6092850821358806,-0.0952255339750738,-591065400,54.24693763806295,-17.606303928390865,-43.13272743488692,7.952975956369944,19647201.816340152,36.26456215059516,1.0,0.87548828125,1.0,0.996084423470127
2020-03-17,35.209999084472656,37.380001068115234,34.20000076293945,36.810001373291016,32.21687698364258,41204400,37.716000366210935,48.67049999237061,58.52880012512207,42.84981115863115,49.279073731378766,-6.429262572747618,-5.263891231183012,-1.1653713415646054,27.61193998377119,33.25,54.150001525878906,17.033498150145743,12.375684589810144,48.67049999237061,64.84960583007572,32.49139415466551,3.701428004673548,0.0672658620446708,-549861000,53.7622819544917,-15.203866614421456,-38.527052911340846,8.08955291885255,18811218.185665444,35.862247719075455,0.0,0.5849609375,0.0,0.923597489654662
2020-03-18,34.54999923706055,36.709999084472656,31.229999542236328,33.119998931884766,28.98731231689453,54036400,35.944000244140625,47.30949993133545,57.77380004882812,41.35291696990093,48.082105227712546,-6.7291882578116144,-5.556950636508733,-1.1722376213028811,27.23554749074951,31.229999542236328,54.150001525878906,8.246069921797048,10.342767005298407,47.30949993133545,63.92889815992116,30.690101702749743,3.870713915143693,-0.1002445613621649,-603897400,53.03631806312673,-21.105289916541004,-45.11103936338936,8.309699114292854,17375992.504599396,34.94118008328767,0.0,0.607421875,0.0,0.999998092420356
2020-03-19,33.72999954223633,34.900001525878906,32.349998474121094,34.43000030517578,30.133848190307617,49412400,35.39400024414063,46.03799991607666,57.05660003662109,40.28785286763552,47.070838196413526,-6.782985328778004,-5.802157574962588,-0.980827753815416,26.61534393582164,31.229999542236328,54.150001525878906,13.961607705022068,13.080391925654956,46.03799991607666,62.504892286314345,29.57110754583897,3.8078569684709818,0.0395531828363036,-554485000,52.45659506694893,-7.396449643431491,-42.48245914781729,8.233446185118844,15706336.268394817,35.110266573048726,1.0,0.86474609375,0.0,0.9999675734780517
2020-03-20,34.84000015258789,35.18000030517578,31.559999465942383,32.7400016784668,28.654726028442383,76534600,34.31800079345703,44.718499946594235,56.32680000305176,39.12664499237879,46.0092947506397,-6.882649758260904,-6.018256011622252,-0.864393746638652,20.32565653069406,31.229999542236328,54.150001525878906,6.588141385450659,9.59860633742326,44.718499946594235,60.996465325434485,28.440534567753986,3.8692857197352817,-0.049085059881772,-631019600,51.548889340173886,-14.11331952823842,-44.63047338566473,8.138982689420125,15492359.308017297,35.620871446234474,0.0,0.9970703125,0.0,0.9999992847883448
2020-03-23,32.529998779296875,32.70000076293945,30.11000061035156,31.450000762939453,27.525691986083984,56952500,33.710000610351564,43.47299995422363,55.56059997558594,37.94562280323428,44.930828529328565,-6.985205726094286,-6.2116459545166585,-0.7735597715776272,21.089423497250152,30.11000061035156,52.47999954223633,5.990166368215348,8.846638486229361,43.47299995422363,59.81230273788908,27.133697170558182,3.830714225769043,-0.0394013698654078,-687972100,50.88313942350592,-8.81415125423236,-44.198012025636714,8.169651391832723,14884654.814090624,35.69888785715494,1.0,0.990234375,1.0,0.9999976158993604
2020-03-24,34.41999816894531,36.16999816894531,33.33000183105469,35.439998626708984,31.017820358276367,61835600,33.43600006103516,42.53499984741211,54.886599960327146,37.560142160691925,44.227804092097486,-6.667661931405561,-6.302849149894439,-0.3648127815111222,27.17741575747135,30.11000061035156,50.70000076293945,25.886342772501212,12.821550175389076,42.53499984741211,58.42928583417317,26.640713860651047,4.070713996887207,0.1268679735127806,-626136500,50.347026915040864,-3.721822046918189,-34.61254957962671,7.947142993380531,14547165.429959362,46.262875910769054,1.0,0.91357421875,0.0,0.7524121936107638
2020-03-25,36.5099983215332,38.59000015258789,35.18000030517578,37.290000915527344,32.63698196411133,56607700,34.27000045776367,41.748999977111815,54.23639991760254,37.51858196912814,43.71389274568488,-6.195310776556738,-6.281341475226899,0.0860306986701608,32.553075067722816,30.11000061035156,49.0099983215332,37.98942420468095,23.28864444846584,41.748999977111815,57.004115138076514,26.493884816147116,4.07285703931536,0.0522009695402223,-569528800,49.94485262831788,12.59058610544852,-29.65477816214198,7.627557580482349,13444499.056178272,34.751572284511596,1.0,0.82666015625,1.0,0.6039151475138236
2020-03-26,37.5,39.560001373291016,36.720001220703125,38.81999969482422,33.976070404052734,46722000,35.14800033569336,41.19899997711182,53.62879997253418,37.71880008077369,43.351382149324834,-5.6325820685511445,-6.151589593891749,0.5190075253406041,37.62900940969441,30.11000061035156,46.2599983215332,53.93189051935399,39.269219165512055,41.19899997711182,56.01578323791178,26.382216716311852,4.06785706111363,0.0410297329507383,-522806800,49.669044259393246,12.750506391916884,-22.079486285389898,7.408391630399982,13485251.667509897,34.33691592947967,1.0,0.92041015625,1.0,0.9736418979270416
